team,ranking,date
LAC,0.1735806996755897,2015-11-14
DEN,0.23184843229575536,2015-11-14
CHI,0.4756384948993987,2015-11-14
IND,0.49460267588932333,2015-11-14
OKC,0.5581692846789108,2015-11-14
DET,0.5978686271135539,2015-11-14
TOR,0.5999386323706392,2015-11-14
MIA,0.6339521383680348,2015-11-14
ATL,0.6798720053881406,2015-11-14
SAS,0.9136026169345559,2015-11-14
CLE,1.405933092577654,2015-11-14
GSW,2.0843951863920687,2015-11-14
PHI,-2.0354831897770453,2015-11-15
BKN,-1.638538045463085,2015-11-15
LAL,-1.6350547213820712,2015-11-15
NOP,-1.2913526732493006,2015-11-15
SAC,-0.833811791233411,2015-11-15
HOU,-0.4290544577995537,2015-11-15
POR,-0.313285609024713,2015-11-15
ORL,-0.28845124941157707,2015-11-15
NYK,-0.21425397524572476,2015-11-15
MEM,-0.18988282602572334,2015-11-15
MIL,-0.1894947341422067,2015-11-15
UTA,-0.09026219272626795,2015-11-15
BOS,0.02891243160141741,2015-11-15
DEN,0.03923805228067217,2015-11-15
MIN,0.040548040730633374,2015-11-15
WAS,0.057965955408605975,2015-11-15
DAL,0.12180511230882854,2015-11-15
CHA,0.12585647716031367,2015-11-15
PHX,0.23338705735806536,2015-11-15
DET,0.3814715167176476,2015-11-15
LAC,0.38939883979032863,2015-11-15
CHI,0.45074691672643324,2015-11-15
IND,0.475351604442593,2015-11-15
OKC,0.5529863920516713,2015-11-15
TOR,0.6095518132198336,2015-11-15
MIA,0.617212594078095,2015-11-15
ATL,0.6765573986840893,2015-11-15
SAS,0.9529864262448731,2015-11-15
CLE,1.043859921460455,2015-11-15
GSW,2.0915878953338893,2015-11-15
PHI,-2.0300566281941133,2015-11-16
BKN,-1.6179055048721653,2015-11-16
NOP,-1.4165014356853483,2015-11-16
LAL,-1.267647348455009,2015-11-16
SAC,-0.5391415385765282,2015-11-16
POR,-0.43567468814123644,2015-11-16
HOU,-0.4265952549204114,2015-11-16
ORL,-0.29514492832818306,2015-11-16
MIN,-0.18951185007338694,2015-11-16
MIL,-0.18202448843242558,2015-11-16
NYK,-0.12851606112477712,2015-11-16
DEN,0.03388085328253418,2015-11-16
MEM,0.04526789342145168,2015-11-16
WAS,0.05340290841065116,2015-11-16
DET,0.07189328439912196,2015-11-16
DAL,0.1261384475658492,2015-11-16
UTA,0.18129097228958274,2015-11-16
PHX,0.21576777882100578,2015-11-16
CHA,0.2374800936432471,2015-11-16
OKC,0.2744605327255033,2015-11-16
BOS,0.27749508357843317,2015-11-16
TOR,0.33422831870713493,2015-11-16
LAC,0.4020486790842726,2015-11-16
ATL,0.4132579777563893,2015-11-16
CHI,0.43139826949570775,2015-11-16
IND,0.47802974391668623,2015-11-16
MIA,0.6089526499181239,2015-11-16
SAS,0.958346820828352,2015-11-16
CLE,1.0623364419262276,2015-11-16
GSW,2.0894486133128884,2015-11-16
PHI,-2.106500284836355,2015-11-17
BKN,-1.6156853321171327,2015-11-17
NOP,-1.4144447975463248,2015-11-17
LAL,-1.3339679983069155,2015-11-17
HOU,-0.580452018431387,2015-11-17
SAC,-0.5382160699881756,2015-11-17
POR,-0.4884251268016304,2015-11-17
ORL,-0.30826367247288905,2015-11-17
MIN,-0.18936083744080873,2015-11-17
MIL,-0.17841365221376507,2015-11-17
NYK,-0.1264107506126495,2015-11-17
DEN,0.016569685977480795,2015-11-17
WAS,0.056249181113625826,2015-11-17
DET,0.07297863902909336,2015-11-17
OKC,0.1032753958870023,2015-11-17
UTA,0.17636767357819189,2015-11-17
DAL,0.19512457593475227,2015-11-17
MEM,0.20171526833871095,2015-11-17
CHA,0.2499270408687505,2015-11-17
PHX,0.28368640362223735,2015-11-17
TOR,0.33046679507051224,2015-11-17
IND,0.33148142882214454,2015-11-17
LAC,0.41102621884507906,2015-11-17
ATL,0.4171428987531665,2015-11-17
BOS,0.4195432442793088,2015-11-17
CHI,0.5957865943628824,2015-11-17
MIA,0.6004106243949093,2015-11-17
SAS,1.0389023014258518,2015-11-17
CLE,1.0699487500360692,2015-11-17
GSW,2.0922485413652496,2015-11-17
PHI,-2.1142797285887114,2015-11-18
NOP,-1.5341357223998688,2015-11-18
LAL,-1.3090498621138775,2015-11-18
BKN,-1.2457874992188744,2015-11-18
HOU,-0.5737978455057048,2015-11-18
SAC,-0.5274855596838358,2015-11-18
POR,-0.4806279340586286,2015-11-18
ORL,-0.30489180531830273,2015-11-18
MIL,-0.29782898146210374,2015-11-18
NYK,0.016522902140432408,2015-11-18
MIN,0.04422400318715921,2015-11-18
CHA,0.05228082559495954,2015-11-18
OKC,0.10874825869345735,2015-11-18
DEN,0.1298078903117179,2015-11-18
ATL,0.14764979970147749,2015-11-18
UTA,0.16745360899091602,2015-11-18
DAL,0.1824687974881492,2015-11-18
MEM,0.20874094384969027,2015-11-18
WAS,0.21119364265527593,2015-11-18
TOR,0.26310029594002704,2015-11-18
DET,0.29083279005543455,2015-11-18
PHX,0.29241132978488416,2015-11-18
MIA,0.29679320013097804,2015-11-18
IND,0.3253493751965541,2015-11-18
BOS,0.4124771928588271,2015-11-18
LAC,0.4165638102814232,2015-11-18
CHI,0.5955546912505275,2015-11-18
CLE,0.8054733809030279,2015-11-18
SAS,1.0481165583195402,2015-11-18
GSW,2.1645102269163443,2015-11-18
PHI,-2.1674368636914676,2015-11-19
NOP,-1.5899806841599509,2015-11-19
BKN,-1.3169844676589149,2015-11-19
LAL,-1.3121012942183083,2015-11-19
SAC,-0.6385070454459448,2015-11-19
POR,-0.6313615681075999,2015-11-19
HOU,-0.4181202578666117,2015-11-19
MIL,-0.3129966526806851,2015-11-19
ORL,-0.12310694755727065,2015-11-19
MIN,-0.11550717042304717,2015-11-19
NYK,0.023569783942497136,2015-11-19
DEN,0.034758297749484406,2015-11-19
PHX,0.10807071363421739,2015-11-19
TOR,0.11804877088203995,2015-11-19
CHA,0.13839189368883253,2015-11-19
OKC,0.1694347522719808,2015-11-19
MEM,0.20007627647095702,2015-11-19
BOS,0.20904509781254468,2015-11-19
WAS,0.22353424974451774,2015-11-19
ATL,0.23999624632145392,2015-11-19
DET,0.2961324082184522,2015-11-19
MIA,0.29920251653207947,2015-11-19
UTA,0.3301130955116402,2015-11-19
IND,0.372471227413788,2015-11-19
DAL,0.38807881995483606,2015-11-19
LAC,0.4148000777123565,2015-11-19
CHI,0.7776156313186056,2015-11-19
CLE,0.8151222794441496,2015-11-19
SAS,1.144876193734024,2015-11-19
GSW,2.1584898614717534,2015-11-19
PHI,-2.16703319004891,2015-11-20
NOP,-1.588569839083366,2015-11-20
BKN,-1.3230174891848616,2015-11-20
LAL,-1.3146190804311988,2015-11-20
SAC,-0.7299828785180372,2015-11-20
POR,-0.6312199553842688,2015-11-20
HOU,-0.41897800587917766,2015-11-20
MIL,-0.39373619061616866,2015-11-20
ORL,-0.12224054024120634,2015-11-20
MIN,-0.10918262100525603,2015-11-20
NYK,0.022199783121646756,2015-11-20
DEN,0.033566243643825544,2015-11-20
PHX,0.10003695245734848,2015-11-20
TOR,0.11717006590389134,2015-11-20
CHA,0.14122728071059903,2015-11-20
