home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline
PHI,NY,72.0,73.0,3,6:31,-475.0,325.0
CLE,CHA,94.0,115.0,4,2:31,1800.0,-6000.0
PHI,NY,72.0,73.0,3,5:55,-525.0,350.0
CLE,CHA,94.0,115.0,4,2:34,1800.0,-6000.0
CLE,CHA,94.0,115.0,4,2:22,1800.0,-6000.0
PHI,NY,74.0,73.0,3,5:56,-575.0,375.0
CLE,CHA,94.0,115.0,4,2:00,1800.0,-6000.0
PHI,NY,74.0,73.0,3,5:33,-775.0,475.0
DEN,OKC,2.0,9.0,1,8:50,-675.0,425.0
CLE,CHA,94.0,115.0,4,1:53,1800.0,-6000.0
ORL,IND,106.0,105.0,4,1:57,-165.0,135.0
PHI,NY,74.0,73.0,3,5:33,-675.0,425.0
DEN,OKC,4.0,9.0,1,8:39,-1050.0,600.0
CLE,CHA,94.0,115.0,4,1:51,1800.0,-6000.0
ORL,IND,106.0,106.0,4,1:59,-165.0,135.0
PHI,NY,75.0,75.0,3,5:10,-575.0,375.0
MIL,MIA,64.0,66.0,3,11:46,-150.0,120.0
DEN,OKC,4.0,9.0,1,8:16,-950.0,550.0
CLE,CHA,94.0,117.0,4,1:26,1800.0,-6000.0
ORL,IND,106.0,109.0,4,1:22,-165.0,135.0
PHI,NY,78.0,75.0,3,4:56,-575.0,375.0
MIL,MIA,64.0,69.0,3,11:24,-110.0,-120.0
DEN,OKC,6.0,9.0,1,7:38,-1150.0,650.0
CLE,CHA,94.0,119.0,4,1:02,1800.0,-6000.0
ORL,IND,108.0,109.0,4,1:13,-165.0,135.0
PHI,NY,78.0,75.0,3,4:23,-1150.0,650.0
MIL,MIA,64.0,71.0,3,10:53,120.0,-150.0
DEN,OKC,6.0,9.0,1,7:19,-1300.0,700.0
CLE,CHA,96.0,119.0,4,0:39,1800.0,-6000.0
ORL,IND,108.0,109.0,4,0:27,-165.0,135.0
PHI,NY,78.0,75.0,3,4:15,-1150.0,650.0
MIL,MIA,66.0,74.0,3,10:25,140.0,-170.0
NO,SAC,65.0,61.0,3,11:59,-370.0,260.0
DEN,OKC,6.0,11.0,1,6:46,-950.0,550.0
CLE,CHA,98.0,119.0,4,0:10,1800.0,-6000.0
ORL,IND,108.0,109.0,4,0:19,-165.0,135.0
PHI,NY,80.0,75.0,3,4:05,-1450.0,750.0
MIL,MIA,66.0,77.0,3,10:05,170.0,-220.0
NO,SAC,65.0,61.0,3,11:27,-370.0,260.0
DEN,OKC,6.0,11.0,1,6:17,-1050.0,600.0
PHI,NY,80.0,77.0,3,3:44,-1300.0,700.0
MIL,MIA,66.0,77.0,3,10:05,200.0,-265.0
NO,SAC,67.0,61.0,3,10:59,-330.0,240.0
DEN,OKC,7.0,11.0,1,6:14,-1050.0,600.0
PHI,NY,80.0,77.0,3,3:44,-1050.0,600.0
MIL,MIA,66.0,77.0,3,10:05,160.0,-200.0
NO,SAC,67.0,63.0,3,10:28,-400.0,280.0
DEN,OKC,8.0,13.0,1,6:01,-1050.0,600.0
