team,gameid,date,home,pts,ppm,poss,tov_rate,reb_rate,oreb_rate,dreb_rate,efpg,tsp,off_eff,def_eff
CHI,22100030,2021-10-23,True,97.0,2.020833333333333,106.0,0.1226415094339622,0.4375,0.1851851851851851,0.6724137931034483,0.4821428571428571,0.470873786407767,0.9150943396226416,0.7735849056603774
DET,22100030,2021-10-23,False,82.0,1.7083333333333333,106.0,0.2169811320754717,0.5625,0.3275862068965517,0.8148148148148148,0.4147727272727273,0.3980582524271844,0.7735849056603774,0.9150943396226416
MIN,22100031,2021-10-23,True,96.0,2.0,113.0,0.1769911504424778,0.4435483870967742,0.3166666666666666,0.5625,0.46875,0.4528301886792453,0.8495575221238938,0.7876106194690266
NOP,22100031,2021-10-23,False,89.0,1.8541666666666667,113.0,0.2654867256637168,0.5564516129032258,0.4375,0.6833333333333333,0.398876404494382,0.3973214285714285,0.7876106194690266,0.8495575221238938
SAS,22100032,2021-10-23,True,111.0,2.3125,103.5,0.1256038647342995,0.4526315789473684,0.2777777777777778,0.6829268292682927,0.5353535353535354,0.5285714285714286,1.072463768115942,1.1690821256038648
MIL,22100032,2021-10-23,False,121.0,2.520833333333333,103.5,0.2125603864734299,0.5473684210526316,0.3170731707317073,0.7222222222222222,0.6204819277108434,0.5761904761904761,1.1690821256038648,1.072463768115942
POR,22100033,2021-10-23,True,134.0,2.7916666666666665,103.0,0.087378640776699,0.55,0.32,0.78,0.6542553191489362,0.6036036036036037,1.300970873786408,1.019417475728155
PHX,22100033,2021-10-23,False,105.0,2.1875,103.0,0.1359223300970873,0.45,0.22,0.68,0.5337078651685393,0.5048076923076923,1.019417475728155,1.300970873786408
LAC,22100034,2021-10-23,True,114.0,2.375,104.5,0.0669856459330143,0.4636363636363636,0.3157894736842105,0.6226415094339622,0.5,0.4913793103448275,1.0909090909090908,1.1483253588516746
MEM,22100034,2021-10-23,False,120.0,2.5,104.5,0.1052631578947368,0.5363636363636364,0.3773584905660377,0.6842105263157895,0.55,0.5217391304347826,1.1483253588516746,1.0909090909090908
BKN,22100035,2021-10-24,True,95.0,1.9791666666666667,106.5,0.1596244131455399,0.4622641509433962,0.2156862745098039,0.6909090909090909,0.4885057471264368,0.4797979797979798,0.892018779342723,1.0422535211267605
CHA,22100035,2021-10-24,False,111.0,2.3125,106.5,0.1126760563380281,0.5377358490566038,0.3090909090909091,0.7843137254901961,0.5106382978723404,0.4911504424778761,1.0422535211267605,0.892018779342723
NYK,22100036,2021-10-24,True,104.0,2.1666666666666665,105.0,0.1142857142857142,0.4885496183206106,0.3285714285714285,0.6721311475409836,0.435,0.416,0.9904761904761904,1.0476190476190477
ORL,22100036,2021-10-24,False,110.0,2.2916666666666665,105.0,0.1238095238095238,0.5114503816793893,0.3278688524590163,0.6714285714285714,0.4772727272727273,0.4508196721311475,1.0476190476190477,0.9904761904761904
HOU,22100037,2021-10-24,True,97.0,2.020833333333333,105.5,0.1895734597156398,0.49,0.22,0.76,0.52,0.4898989898989899,0.919431279620853,1.014218009478673
BOS,22100037,2021-10-24,False,107.0,2.2291666666666665,105.5,0.1137440758293838,0.51,0.24,0.78,0.5290697674418605,0.5047169811320755,1.014218009478673,0.919431279620853
OKC,22100038,2021-10-24,True,103.0,2.145833333333333,98.5,0.1116751269035533,0.4747474747474747,0.2391304347826087,0.6792452830188679,0.5238095238095238,0.5,1.0456852791878173,1.16751269035533
PHI,22100038,2021-10-24,False,115.0,2.395833333333333,98.5,0.1218274111675127,0.5252525252525253,0.320754716981132,0.7608695652173914,0.5625,0.5324074074074074,1.16751269035533,1.0456852791878173
SAC,22100039,2021-10-24,True,107.0,2.2291666666666665,100.0,0.19,0.5,0.34,0.6428571428571429,0.5755813953488372,0.5404040404040404,1.07,1.19
GSW,22100039,2021-10-24,False,119.0,2.4791666666666665,100.0,0.07,0.5,0.3571428571428571,0.66,0.5103092783505154,0.4917355371900826,1.19,1.07
